Ref,Val,Package,PosX,PosY,Rot,Side
"AE1","PN532 ANT","NFC_45x45_N4_NXP_PN5180",128.200000,-100.500000,-90.000000,bottom
"J2","Value: DISP_3.5_WAVESHARE","Amphenol_F32Q-1A7x1-11015_1x15-1MP_P0.5mm_Horizontal",198.000000,-71.975000,0.000000,bottom
"P1","JST-2pin","JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal",231.492824,-179.010731,-90.000000,bottom
"C1","100nf","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",188.457176,-100.275000,0.000000,top
"C2","100nf","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",188.457176,-103.275000,0.000000,top
"C3","0.1uf","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",188.457176,-106.275000,0.000000,top
"C4","10uf","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",188.457176,-109.275000,0.000000,top
"C5","1uf","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",188.457176,-112.275000,0.000000,top
"C6","100nf","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",188.457176,-115.275000,0.000000,top
"C7","100nf","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",183.607176,-100.275000,0.000000,top
"C8","100nf","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",183.607176,-103.275000,0.000000,top
"C9","1uf","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",183.607176,-106.275000,0.000000,top
"C10","18pf","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",183.607176,-109.275000,0.000000,top
"C11","18pf","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",183.607176,-112.275000,0.000000,top
"C12","1.8pF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",183.607176,-115.275000,0.000000,top
"C13","1.2pF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",183.607176,-118.275000,0.000000,top
"C14","1.0pF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",188.457176,-118.275000,0.000000,top
"C15","1.5pf","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",183.607176,-96.800000,0.000000,top
"C16","0.1uf","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",188.232176,-121.275000,0.000000,top
"C17","100nf","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",216.017176,-119.720000,-90.000000,top
"C18","100nf","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",228.310000,-83.737500,-90.000000,top
"C19","18pf","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",234.810000,-84.025000,-90.000000,top
"C20","18pf","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",238.000000,-90.387500,-90.000000,top
"C21","18pf","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",231.810000,-84.250000,-90.000000,top
"C22","18pf","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",219.810000,-83.250000,0.000000,top
"C23","18pf","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",230.447500,-81.250000,0.000000,top
"C24","18pf","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",223.447500,-83.250000,0.000000,top
"C25","1.0pF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",216.172500,-86.750000,0.000000,top
"C26","1.5pf","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",223.142500,-80.750000,0.000000,top
"C27","1.5pF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",226.310000,-82.887500,-90.000000,top
